score,n_estimators,criterion,max_features
0.7255101654629607,64,squared_error,sqrt
0.7235712914004631,64,friedman_mse,sqrt
0.7401635925034484,65,squared_error,log2
0.7212300890072376,64,friedman_mse,log2
0.7401030478069666,65,friedman_mse,sqrt
0.7428665849649926,65,friedman_mse,log2
0.7406501891928847,65,squared_error,sqrt
0.7328176901252538,66,squared_error,log2
0.7331574200147215,66,squared_error,sqrt
0.7322881450378056,66,friedman_mse,sqrt
0.7288568660794579,66,friedman_mse,log2
0.7341605305214232,67,squared_error,sqrt
0.7326807907954573,67,squared_error,log2
0.7358239594533187,67,friedman_mse,sqrt
0.7299255163552112,67,friedman_mse,log2
0.7294879928532942,68,friedman_mse,sqrt
0.7237524565279131,68,squared_error,sqrt
0.7277606857725027,68,squared_error,log2
0.7239072936553372,68,friedman_mse,log2
0.7297346314458235,69,squared_error,log2
0.732672613458335,69,friedman_mse,sqrt
0.7326624832555106,69,squared_error,sqrt
0.7317213919797676,69,friedman_mse,log2
0.6986957907523064,70,squared_error,sqrt
0.6978436631234879,70,friedman_mse,sqrt
0.6990310369703315,70,squared_error,log2
0.7352790865847258,50,squared_error,
0.6956220518525822,70,friedman_mse,log2
0.7253817674881382,71,friedman_mse,sqrt
0.7251606645377653,71,squared_error,sqrt
0.6865311218080348,51,squared_error,
0.7244096746909843,71,squared_error,log2
0.7378817629124045,50,friedman_mse,
0.6863679683822013,51,friedman_mse,
0.7255381078063179,71,friedman_mse,log2
0.7183201353076848,72,friedman_mse,log2
0.7168742566574144,72,squared_error,sqrt
0.7158204058505151,72,squared_error,log2
0.7196682234300564,72,friedman_mse,sqrt
0.7208109141813621,53,squared_error,
0.725717355038184,74,squared_error,sqrt
0.7226835019620721,73,squared_error,sqrt
0.723155711498525,52,squared_error,
0.718116653884112,52,friedman_mse,
0.7254624735435672,73,friedman_mse,sqrt
0.7234916881222999,73,friedman_mse,log2
0.7187290159632163,53,friedman_mse,
0.7253282262668669,74,friedman_mse,sqrt
0.7244668634628477,73,squared_error,log2
0.7276375650807891,74,squared_error,log2
0.7301093450745415,74,friedman_mse,log2
0.7203761035819793,54,friedman_mse,
0.718965850661449,75,friedman_mse,sqrt
0.7176570294983701,75,squared_error,log2
0.7208086342601531,75,friedman_mse,log2
0.7177173654580258,54,squared_error,
0.71846309763444,75,squared_error,sqrt
0.6939883564259586,55,squared_error,
0.7164607756980299,76,friedman_mse,log2
0.7151133059135439,76,squared_error,sqrt
0.7179120704728024,76,squared_error,log2
0.7155772869378689,76,friedman_mse,sqrt
