Model,N_estimators,Learning_rate,Score,R2_Score,CVS,MSE,MAE,RMSE
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,32,0.5,0.7325376933847831,0.7417584620120314,0.7331283385531959,4.912149810391163,1.4958668225105942,2.2163370254523933
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,32,0.6,0.6995255243225533,0.7094691760199243,0.6892380985474917,5.5263415136297995,1.5607284613505144,2.3508172012365827
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,32,0.7,0.7410993426938155,0.7351876808798818,0.7105633650813841,5.517655785911614,1.5023846948755883,2.3489690900289886
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,32,0.8,0.7422515163966444,0.7099258020942643,0.7260441273045353,5.037136137315512,1.583340728946154,2.2443565085154167
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,32,0.9,0.7095946280286212,0.7413888263610852,0.7334330676757719,4.919180846942667,1.4985047381569974,2.217922642235898
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,32,1.0,0.7393094136562505,0.7182044725843926,0.7017371005247914,5.360182786040196,1.5405204365622767,2.315206855993692
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,33,0.1,0.7253582614247795,0.6914587352508683,0.704646913221475,5.86892769824624,1.5673601931314662,2.4225869846604557
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,33,0.2,0.7295751096433296,0.723444542452002,0.7167520691094069,5.2605086266963434,1.5936760858329373,2.293579871444712
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,33,0.3,0.7099258020942643,0.7414412074105095,0.7292505305543096,4.90277116038482,1.4891612939351728,2.2142202149706836
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,33,0.4,0.7182044725843926,0.7422515163966444,0.7291279340193313,4.918184479108109,1.4904055374981406,2.217698013505921
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,33,0.5,0.7094691760199243,0.7253582614247795,0.7280774809801356,5.1438958435589015,1.585483928130893,2.2680158384717912
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,33,0.6,0.7105983373356212,0.7399453715769928,0.7177156766336128,5.224106759039756,1.4889152282941474,2.285630494861266
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,33,0.7,0.7336511607357943,0.7295751096433296,0.7258020864537271,4.94663756904567,1.5061808142950974,2.224103767598461
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,33,0.8,0.7280626988543238,0.7336511607357943,0.7252989076220895,5.066363105189262,1.5053704577992024,2.2508583041118473
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,33,0.9,0.7417584620120314,0.7101887588194984,0.6885566106929142,5.512653946013728,1.5796558805037795,2.347904160312709
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,33,1.0,0.7035676902063639,0.7393094136562505,0.7307617375578237,4.958734463310358,1.5115125871597026,2.2268216056321974
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,34,0.1,0.7413888263610852,0.7181820104679754,0.709046808528636,5.523955224167867,1.5586145592258653,2.3503096017690663
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,34,0.2,0.7181820104679754,0.7095946280286212,0.6994186357654699,5.360610049917879,1.5399172451547405,2.3152991275249684
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,34,0.3,0.7264079353642399,0.7123206762874517,0.7090722115249878,5.472101608587423,1.5538437346582956,2.3392523610306397
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,34,0.4,0.7123206762874517,0.7035676902063639,0.7027487771802189,5.6385968178925,1.5639126629880877,2.374572975903773
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,34,0.5,0.7333288855050815,0.741357650085642,0.7308385880838985,4.919773867479562,1.4960454179778153,2.21805632648938
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,34,0.6,0.7003725359422841,0.7003725359422841,0.7016640438927456,5.011540834057855,1.5119136315716233,2.2386470990439413
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,34,0.7,0.7365332771531354,0.7365332771531354,0.7329763479799324,5.699373548602649,1.5699241261005006,2.3873360778496706
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,34,0.8,0.7277232770769553,0.7333288855050815,0.7242398792061249,5.072493273967582,1.5048027643605584,2.252219632710714
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,34,0.9,0.7367974804244786,0.7169396543038687,0.6986092638133485,5.384241568083013,1.5104815396659024,2.3203968557302894
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,34,1.0,0.7399453715769928,0.7367974804244786,0.7309546306905459,5.00651528294263,1.543909306764107,2.2375243647707235
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,35,0.1,0.7407892193342148,0.7104012338467212,0.7098798631965819,5.508612345375748,1.5527720299127867,2.347043319876254
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,35,0.2,0.7101887588194984,0.7059733975908536,0.709786979848324,5.592836576667756,1.5617102101638818,2.3649178794765278
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,35,0.3,0.7104012338467212,0.7280351692016214,0.7228636726823374,5.17318787073504,1.5740939417240378,2.274464304124169
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,35,0.4,0.741357650085642,0.7211613139773909,0.7193695008363803,5.303939131354982,1.5183433478381045,2.3030282524005177
