score,sampling_method,max_depth,grow_policy,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight
0.7469649682585922,uniform,4,depthwise,3,0.6,0.6,0.1,0.1,1.5,3
0.7493526836172817,uniform,4,depthwise,3,0.6,0.6,0.1,0.1,2.0,3
0.7462028146695519,uniform,4,depthwise,3,0.6,0.6,0.1,0.01,1.5,2
0.7487725921757918,uniform,4,depthwise,3,0.6,0.6,0.1,0.01,5.0,2
0.7486086868840671,uniform,4,depthwise,3,0.6,0.6,0.1,0.01,2.0,2
0.7462028146695519,uniform,4,depthwise,3,0.6,0.6,0.1,0.01,1.5,3
0.7488690880443422,uniform,4,depthwise,3,0.6,0.6,0.1,1.0,2.0,3
0.7484376835223966,uniform,4,depthwise,3,0.6,0.6,0.1,0.1,5.0,3
0.7484376835223966,uniform,4,depthwise,3,0.6,0.6,0.1,0.1,5.0,2
0.7486086868840671,uniform,4,depthwise,3,0.6,0.6,0.1,0.01,2.0,3
0.7488690880443422,uniform,4,depthwise,3,0.6,0.6,0.1,1.0,2.0,2
0.7461979437191837,uniform,4,depthwise,3,0.6,0.6,0.2,0.01,1.5,2
0.7493526836172817,uniform,4,depthwise,3,0.6,0.6,0.1,0.1,2.0,2
0.7469649682585922,uniform,4,depthwise,3,0.6,0.6,0.1,0.1,1.5,2
0.7488690880443422,uniform,4,depthwise,3,0.6,0.6,0.2,1.0,2.0,2
0.7486086868840671,uniform,4,depthwise,3,0.6,0.6,0.2,0.01,2.0,3
0.7493526836172817,uniform,4,depthwise,3,0.6,0.6,0.2,0.1,2.0,2
0.7474842906449463,uniform,4,depthwise,3,0.6,0.6,0.1,1.0,5.0,2
0.7474842906449463,uniform,4,depthwise,3,0.6,0.6,0.1,1.0,5.0,3
0.7493526836172817,uniform,4,depthwise,3,0.6,0.6,0.2,0.1,2.0,3
0.7461979437191837,uniform,4,depthwise,3,0.6,0.6,0.2,0.01,1.5,3
0.7469649682585922,uniform,4,depthwise,3,0.6,0.6,0.3,0.1,1.5,2
0.7491578464294091,uniform,4,depthwise,3,0.6,0.6,0.1,1.0,1.5,2
0.7488690880443422,uniform,4,depthwise,3,0.6,0.6,0.2,1.0,2.0,3
0.7474842906449463,uniform,4,depthwise,3,0.6,0.6,0.2,1.0,5.0,2
0.7487725921757918,uniform,4,depthwise,3,0.6,0.6,0.3,0.01,5.0,3
0.7487725921757918,uniform,4,depthwise,3,0.6,0.6,0.2,0.01,5.0,3
0.7461966470882901,uniform,4,depthwise,3,0.6,0.6,0.3,0.01,1.5,3
0.7499707055405319,uniform,4,depthwise,3,0.6,0.6,0.2,1.0,1.5,2
0.7491578464294091,uniform,4,depthwise,3,0.6,0.6,0.1,1.0,1.5,3
0.7484376835223966,uniform,4,depthwise,3,0.6,0.6,0.2,0.1,5.0,2
0.7487725921757918,uniform,4,depthwise,3,0.6,0.6,0.1,0.01,5.0,3
0.7486086868840671,uniform,4,depthwise,3,0.6,0.6,0.3,0.01,2.0,2
0.7469649682585922,uniform,4,depthwise,3,0.6,0.6,0.2,0.1,1.5,2
0.7486086868840671,uniform,4,depthwise,3,0.6,0.6,0.2,0.01,2.0,2
0.7487725921757918,uniform,4,depthwise,3,0.6,0.6,0.2,0.01,5.0,2
0.7469649682585922,uniform,4,depthwise,3,0.6,0.6,0.2,0.1,1.5,3
0.7469649682585922,uniform,4,depthwise,3,0.6,0.6,0.3,0.1,1.5,3
0.7493526836172817,uniform,4,depthwise,3,0.6,0.6,0.3,0.1,2.0,3
0.7487725921757918,uniform,4,depthwise,3,0.6,0.6,0.3,0.01,5.0,2
0.7484376835223966,uniform,4,depthwise,3,0.6,0.6,0.3,0.1,5.0,3
0.7474842906449463,uniform,4,depthwise,3,0.6,0.6,0.2,1.0,5.0,3
0.747066107983299,uniform,4,depthwise,3,0.6,0.8,0.1,0.01,5.0,3
0.7463925415456663,uniform,4,depthwise,3,0.6,0.8,0.1,0.01,2.0,2
0.7463925415456663,uniform,4,depthwise,3,0.6,0.8,0.1,0.01,2.0,3
0.7465472957117849,uniform,4,depthwise,3,0.6,0.8,0.1,0.1,2.0,3
0.7499707055405319,uniform,4,depthwise,3,0.6,0.6,0.2,1.0,1.5,3
0.7484376835223966,uniform,4,depthwise,3,0.6,0.6,0.3,0.1,5.0,2
0.7461966470882901,uniform,4,depthwise,3,0.6,0.6,0.3,0.01,1.5,2
0.7484376835223966,uniform,4,depthwise,3,0.6,0.6,0.2,0.1,5.0,3
0.7499707055405319,uniform,4,depthwise,3,0.6,0.6,0.3,1.0,1.5,3
0.7488690880443422,uniform,4,depthwise,3,0.6,0.6,0.3,1.0,2.0,2
0.7493526836172817,uniform,4,depthwise,3,0.6,0.6,0.3,0.1,2.0,2
0.7458138706101121,uniform,4,depthwise,3,0.6,0.8,0.1,0.1,1.5,3
0.7460124396543992,uniform,4,depthwise,3,0.6,0.8,0.2,0.01,1.5,2
0.7488690880443422,uniform,4,depthwise,3,0.6,0.6,0.3,1.0,2.0,3
0.7489606251138069,uniform,4,depthwise,3,0.6,0.8,0.1,1.0,2.0,2
0.7486086868840671,uniform,4,depthwise,3,0.6,0.6,0.3,0.01,2.0,3
0.747066107983299,uniform,4,depthwise,3,0.6,0.8,0.1,0.01,5.0,2
0.7460124396543992,uniform,4,depthwise,3,0.6,0.8,0.1,0.01,1.5,3
0.7474842906449463,uniform,4,depthwise,3,0.6,0.6,0.3,1.0,5.0,2
0.7465472957117849,uniform,4,depthwise,3,0.6,0.8,0.1,0.1,2.0,2
0.747066107983299,uniform,4,depthwise,3,0.6,0.8,0.2,0.01,5.0,3
0.7460124396543992,uniform,4,depthwise,3,0.6,0.8,0.1,0.01,1.5,2
0.7481249334970761,uniform,4,depthwise,3,0.6,0.8,0.1,0.1,5.0,2
0.7481249334970761,uniform,4,depthwise,3,0.6,0.8,0.1,0.1,5.0,3
0.7460124396543992,uniform,4,depthwise,3,0.6,0.8,0.2,0.01,1.5,3
0.7501813198775672,uniform,4,depthwise,3,0.6,0.8,0.1,1.0,5.0,3
0.7474842906449463,uniform,4,depthwise,3,0.6,0.6,0.3,1.0,5.0,3
0.7489606251138069,uniform,4,depthwise,3,0.6,0.8,0.2,1.0,2.0,2
0.7489606251138069,uniform,4,depthwise,3,0.6,0.8,0.1,1.0,2.0,3
0.7463925415456663,uniform,4,depthwise,3,0.6,0.8,0.2,0.01,2.0,3
0.7499707055405319,uniform,4,depthwise,3,0.6,0.6,0.3,1.0,1.5,2
0.7476853562435074,uniform,4,depthwise,3,0.6,0.8,0.2,1.0,1.5,2
0.7476853562435074,uniform,4,depthwise,3,0.6,0.8,0.1,1.0,1.5,2
0.7458138706101121,uniform,4,depthwise,3,0.6,0.8,0.1,0.1,1.5,2
0.747066107983299,uniform,4,depthwise,3,0.6,0.8,0.2,0.01,5.0,2
0.7463925415456663,uniform,4,depthwise,3,0.6,0.8,0.3,0.01,2.0,3
0.7463925415456663,uniform,4,depthwise,3,0.6,0.8,0.2,0.01,2.0,2
0.7501813198775672,uniform,4,depthwise,3,0.6,0.8,0.1,1.0,5.0,2
0.7458138706101121,uniform,4,depthwise,3,0.6,0.8,0.2,0.1,1.5,3
0.7465472957117849,uniform,4,depthwise,3,0.6,0.8,0.2,0.1,2.0,3
0.7481249334970761,uniform,4,depthwise,3,0.6,0.8,0.2,0.1,5.0,2
0.7465472957117849,uniform,4,depthwise,3,0.6,0.8,0.2,0.1,2.0,2
0.7476853562435074,uniform,4,depthwise,3,0.6,0.8,0.1,1.0,1.5,3
0.7458138706101121,uniform,4,depthwise,3,0.6,0.8,0.2,0.1,1.5,2
0.7463925415456663,uniform,4,depthwise,3,0.6,0.8,0.3,0.01,2.0,2
0.7501782297355161,uniform,4,depthwise,3,0.6,0.8,0.2,1.0,5.0,2
0.7460124396543992,uniform,4,depthwise,3,0.6,0.8,0.3,0.01,1.5,2
0.7481249334970761,uniform,4,depthwise,3,0.6,0.8,0.2,0.1,5.0,3
0.7489606251138069,uniform,4,depthwise,3,0.6,0.8,0.2,1.0,2.0,3
0.7476853562435074,uniform,4,depthwise,3,0.6,0.8,0.2,1.0,1.5,3
0.7481249334970761,uniform,4,depthwise,3,0.6,0.8,0.3,0.1,5.0,2
0.747066107983299,uniform,4,depthwise,3,0.6,0.8,0.3,0.01,5.0,2
0.7501782297355161,uniform,4,depthwise,3,0.6,0.8,0.2,1.0,5.0,3
0.747066107983299,uniform,4,depthwise,3,0.6,0.8,0.3,0.01,5.0,3
0.7458138706101121,uniform,4,depthwise,3,0.6,0.8,0.3,0.1,1.5,2
0.7476853562435074,uniform,4,depthwise,3,0.6,0.8,0.3,1.0,1.5,2
0.7465472957117849,uniform,4,depthwise,3,0.6,0.8,0.3,0.1,2.0,3
0.7460124396543992,uniform,4,depthwise,3,0.6,0.8,0.3,0.01,1.5,3
0.7489606251138069,uniform,4,depthwise,3,0.6,0.8,0.3,1.0,2.0,3
0.7501782297355161,uniform,4,depthwise,3,0.6,0.8,0.3,1.0,5.0,2
0.7481249334970761,uniform,4,depthwise,3,0.6,0.8,0.3,0.1,5.0,3
0.7527859462799998,uniform,4,depthwise,3,0.6,1.0,0.1,1.0,2.0,2
0.7505651188372915,uniform,4,depthwise,3,0.6,1.0,0.1,0.01,2.0,3
0.7465472957117849,uniform,4,depthwise,3,0.6,0.8,0.3,0.1,2.0,2
0.7458138706101121,uniform,4,depthwise,3,0.6,0.8,0.3,0.1,1.5,3
0.7505651188372915,uniform,4,depthwise,3,0.6,1.0,0.2,0.01,2.0,3
0.7476853562435074,uniform,4,depthwise,3,0.6,0.8,0.3,1.0,1.5,3
0.7501782297355161,uniform,4,depthwise,3,0.6,0.8,0.3,1.0,5.0,3
0.7536108511056252,uniform,4,depthwise,3,0.6,1.0,0.1,0.01,1.5,2
0.7506270486157485,uniform,4,depthwise,3,0.6,1.0,0.2,1.0,2.0,2
0.7502684062745719,uniform,4,depthwise,3,0.6,1.0,0.1,1.0,1.5,2
0.7536108511056252,uniform,4,depthwise,3,0.6,1.0,0.1,0.01,1.5,3
0.7503793733514782,uniform,4,depthwise,3,0.6,1.0,0.2,0.01,5.0,2
0.7505402572483763,uniform,4,depthwise,3,0.6,1.0,0.1,1.0,5.0,2
0.7513765392894298,uniform,4,depthwise,3,0.6,1.0,0.1,0.1,1.5,2
0.7505402572483763,uniform,4,depthwise,3,0.6,1.0,0.1,1.0,5.0,3
0.7506531616679415,uniform,4,depthwise,3,0.6,1.0,0.1,0.1,5.0,3
0.7522113080808526,uniform,4,depthwise,3,0.6,1.0,0.2,0.1,2.0,2
0.7513765392894298,uniform,4,depthwise,3,0.6,1.0,0.1,0.1,1.5,3
0.7522113080808526,uniform,4,depthwise,3,0.6,1.0,0.1,0.1,2.0,3
0.7508781831257076,uniform,4,depthwise,3,0.6,1.0,0.2,0.1,5.0,2
0.7489606251138069,uniform,4,depthwise,3,0.6,0.8,0.3,1.0,2.0,2
0.7527859462799998,uniform,4,depthwise,3,0.6,1.0,0.1,1.0,2.0,3
0.7505651188372915,uniform,4,depthwise,3,0.6,1.0,0.1,0.01,2.0,2
0.7536108511056252,uniform,4,depthwise,3,0.6,1.0,0.2,0.01,1.5,3
0.750999537706246,uniform,4,depthwise,3,0.6,1.0,0.2,1.0,1.5,2
0.7505364249007291,uniform,4,depthwise,3,0.6,1.0,0.2,1.0,5.0,2
0.7503793733514782,uniform,4,depthwise,3,0.6,1.0,0.1,0.01,5.0,3
0.7513765392894298,uniform,4,depthwise,3,0.6,1.0,0.3,0.1,1.5,2
0.750999537706246,uniform,4,depthwise,3,0.6,1.0,0.3,1.0,1.5,3
0.7508781831257076,uniform,4,depthwise,3,0.6,1.0,0.2,0.1,5.0,3
0.7513765392894298,uniform,4,depthwise,3,0.6,1.0,0.2,0.1,1.5,2
0.7513765392894298,uniform,4,depthwise,3,0.6,1.0,0.2,0.1,1.5,3
0.7505864620222484,uniform,4,depthwise,3,0.6,1.0,0.3,0.01,2.0,2
0.7502684062745719,uniform,4,depthwise,3,0.6,1.0,0.1,1.0,1.5,3
0.7505651188372915,uniform,4,depthwise,3,0.6,1.0,0.2,0.01,2.0,2
0.7522113080808526,uniform,4,depthwise,3,0.6,1.0,0.2,0.1,2.0,3
0.750999537706246,uniform,4,depthwise,3,0.6,1.0,0.3,1.0,1.5,2
0.7506270486157485,uniform,4,depthwise,3,0.6,1.0,0.2,1.0,2.0,3
0.7536108511056252,uniform,4,depthwise,3,0.6,1.0,0.3,0.01,1.5,2
0.7503793733514782,uniform,4,depthwise,3,0.6,1.0,0.1,0.01,5.0,2
0.7508781831257076,uniform,4,depthwise,3,0.6,1.0,0.3,0.1,5.0,2
0.7536108511056252,uniform,4,depthwise,3,0.6,1.0,0.2,0.01,1.5,2
0.750999537706246,uniform,4,depthwise,3,0.6,1.0,0.2,1.0,1.5,3
0.7503793733514782,uniform,4,depthwise,3,0.6,1.0,0.2,0.01,5.0,3
0.7503807387556187,uniform,4,depthwise,3,0.6,1.0,0.3,0.01,5.0,2
0.7522113080808526,uniform,4,depthwise,3,0.6,1.0,0.1,0.1,2.0,2
0.7479053203309084,uniform,4,depthwise,3,0.8,0.6,0.1,0.01,2.0,3
0.7503807387556187,uniform,4,depthwise,3,0.6,1.0,0.3,0.01,5.0,3
0.7522113080808526,uniform,4,depthwise,3,0.6,1.0,0.3,0.1,2.0,2
0.7506531616679415,uniform,4,depthwise,3,0.6,1.0,0.1,0.1,5.0,2
0.7536108511056252,uniform,4,depthwise,3,0.6,1.0,0.3,0.01,1.5,3
0.7506270486157485,uniform,4,depthwise,3,0.6,1.0,0.3,1.0,2.0,2
0.7485981831140549,uniform,4,depthwise,3,0.8,0.6,0.1,1.0,2.0,3
0.7477787016730754,uniform,4,depthwise,3,0.8,0.6,0.1,0.01,1.5,2
0.7477787016730754,uniform,4,depthwise,3,0.8,0.6,0.1,0.01,1.5,3
0.7467603422193108,uniform,4,depthwise,3,0.8,0.6,0.1,0.1,2.0,2
0.7505364249007291,uniform,4,depthwise,3,0.6,1.0,0.2,1.0,5.0,3
0.7505864620222484,uniform,4,depthwise,3,0.6,1.0,0.3,0.01,2.0,3
0.7481652358631241,uniform,4,depthwise,3,0.8,0.6,0.1,0.1,1.5,2
